6000,9,63.00,6.864194,0.000635
6000,9,63.74,6.539126,0.000633
7000,9,63.83,7.258311,0.000707
7000,9,60.81,7.724574,0.000692
7000,9,63.19,7.527625,0.000696
7000,9,65.11,7.739554,0.000694
7000,9,61.54,7.622622,0.000700
8000,9,65.02,8.512692,0.000783
8000,9,63.28,8.439200,0.000771
8000,9,61.72,8.388476,0.000759
8000,9,61.90,7.992904,0.000747
8000,9,61.63,8.283218,0.000755
9000,9,60.26,8.949262,0.000833
9000,9,63.19,8.812273,0.000809
9000,9,63.19,8.742381,0.000829
9000,9,65.20,8.985713,0.000828
9000,9,64.56,8.602998,0.000812
10000,9,67.03,9.261851,0.000869
10000,9,60.16,9.583157,0.000928
10000,9,60.81,9.240113,0.000859
10000,9,63.00,9.196219,0.000886
10000,9,62.82,9.666392,0.000871
1000,10,56.87,2.242845,0.000332
1000,10,57.60,2.269395,0.000346
1000,10,55.40,2.187698,0.000336
1000,10,56.23,2.167933,0.000332
1000,10,58.97,2.166438,0.000328
2000,10,58.15,3.529255,0.000408
2000,10,60.99,3.427722,0.000399
2000,10,59.71,3.519352,0.000417
2000,10,60.81,3.493279,0.000402
2000,10,58.06,3.571395,0.000417
3000,10,58.70,4.878958,0.000486
3000,10,57.51,4.710603,0.000462
3000,10,58.97,4.808280,0.000459
3000,10,60.53,4.632575,0.000458
3000,10,60.62,4.959473,0.000454
4000,10,59.80,5.375970,0.000510
4000,10,59.89,5.453377,0.000515
4000,10,59.98,5.763163,0.000519
4000,10,60.35,5.374132,0.000584
4000,10,59.43,5.375863,0.000526
5000,10,60.53,6.025588,0.000575
5000,10,59.07,6.453686,0.000584
5000,10,61.90,6.364671,0.000572
5000,10,58.88,6.394745,0.000586
5000,10,60.35,6.213115,0.000580
6000,10,60.90,7.000782,0.000636
6000,10,63.28,7.015758,0.000628
6000,10,62.00,6.556118,0.000633
6000,10,59.16,6.914910,0.000632
6000,10,61.36,6.982230,0.000641
7000,10,62.36,7.301397,0.000691
7000,10,60.35,7.305571,0.000705
7000,10,58.61,7.242625,0.000696
7000,10,60.35,7.676420,0.000683
7000,10,60.62,7.604794,0.000690
8000,10,60.90,8.211513,0.000756
8000,10,60.07,8.348059,0.000745
8000,10,59.43,8.405730,0.000757
8000,10,62.82,8.172685,0.000746
8000,10,62.73,8.398177,0.000751
9000,10,60.81,8.686684,0.000813
9000,10,59.52,9.020401,0.000811
9000,10,61.36,8.672975,0.000817
9000,10,61.08,8.772891,0.000815
9000,10,60.71,8.819060,0.000816
10000,10,58.70,9.607508,0.000883
10000,10,62.73,9.240364,0.000877
10000,10,61.45,9.722281,0.000884
10000,10,62.18,9.678197,0.000871
10000,10,59.98,9.801929,0.000886
